2025-07-08 19:20:24 | Imagem: outputs/job_1752013142209_5526_Alice_CGNR_H-1.csv_G-2.csv.png | Usuario: Alice | Iteracoes: 5 | Tempo: 34.54s
2025-07-08 19:20:48 | Imagem: outputs/job_1752013142209_4178_Murilo_CGNE_H-1.csv_A-60x60-1.csv.png | Usuario: Murilo | Iteracoes: 5 | Tempo: 39.7s
2025-07-08 19:20:55 | Imagem: outputs/job_1752013142209_3562_Ana_CGNR_H-2.csv_g-30x30-1.csv.png | Usuario: Ana | Iteracoes: 5 | Tempo: 2.14s
2025-07-08 19:21:27 | Imagem: outputs/job_1752013142209_4953_Murilo_CGNE_H-1.csv_G-1.csv.png | Usuario: Murilo | Iteracoes: 5 | Tempo: 33.5s
2025-07-08 19:22:03 | Imagem: outputs/job_1752013142209_6202_Eduarda_CGNE_H-1.csv_A-60x60-1.csv.png | Usuario: Eduarda | Iteracoes: 5 | Tempo: 33.18s
2025-07-08 19:51:45 | Imagem: outputs/job_1752015097220_5054_José_CGNE_H-2.csv_g-30x30-2.csv.png | Usuario: José | Iteracoes: 5 | Tempo: 4.04s
2025-07-08 19:51:50 | Imagem: outputs/job_1752015097220_5256_Murilo_CGNE_H-2.csv_A-30x30-1.csv.png | Usuario: Murilo | Iteracoes: 5 | Tempo: 2.73s
2025-07-08 19:52:46 | Imagem: outputs/job_1752015097220_5061_José_CGNE_H-1.csv_G-2.csv.png | Usuario: José | Iteracoes: 5 | Tempo: 27.89s
2025-07-08 19:53:04 | Imagem: outputs/job_1752015097220_6052_Eduarda_CGNR_H-1.csv_A-60x60-1.csv.png | Usuario: Eduarda | Iteracoes: 5 | Tempo: 17.93s
2025-07-08 19:53:20 | Imagem: outputs/job_1752015097220_5730_Murilo_CGNR_H-1.csv_G-1.csv.png | Usuario: Murilo | Iteracoes: 5 | Tempo: 15.84s
2025-07-08 19:54:45 | Imagem: outputs/job_1752015281321_9654_Maria_CGNE_H-2.csv_g-30x30-2.csv.png | Usuario: Maria | Iteracoes: 5 | Tempo: 2.79s
2025-07-08 19:54:49 | Imagem: outputs/job_1752015282827_5711_Murilo_CGNE_H-2.csv_A-30x30-1.csv.png | Usuario: Murilo | Iteracoes: 5 | Tempo: 3.11s
2025-07-08 19:54:51 | Imagem: outputs/job_1752015282827_8715_Alice_CGNE_H-2.csv_g-30x30-1.csv.png | Usuario: Alice | Iteracoes: 5 | Tempo: 3.0s
2025-07-08 19:54:55 | Imagem: outputs/job_1752015284571_6106_Eduarda_CGNE_H-2.csv_g-30x30-2.csv.png | Usuario: Eduarda | Iteracoes: 5 | Tempo: 2.3s
2025-07-08 19:55:22 | Imagem: outputs/job_1752015281320_8024_Ana_CGNE_H-1.csv_G-2.csv.png | Usuario: Ana | Iteracoes: 5 | Tempo: 27.82s
2025-07-08 19:55:24 | Imagem: outputs/job_1752015281321_9684_Lucas_CGNR_H-2.csv_g-30x30-2.csv.png | Usuario: Lucas | Iteracoes: 5 | Tempo: 2.11s
2025-07-08 19:55:50 | Imagem: outputs/job_1752015282827_4876_José_CGNE_H-1.csv_A-60x60-1.csv.png | Usuario: José | Iteracoes: 5 | Tempo: 25.21s
2025-07-08 19:55:52 | Imagem: outputs/job_1752015282827_5087_Daniel_CGNR_H-2.csv_A-30x30-1.csv.png | Usuario: Daniel | Iteracoes: 5 | Tempo: 2.48s
2025-07-08 19:56:17 | Imagem: outputs/job_1752015282827_9688_Daniel_CGNE_H-1.csv_G-1.csv.png | Usuario: Daniel | Iteracoes: 5 | Tempo: 23.99s
2025-07-08 19:56:20 | Imagem: outputs/job_1752015284571_7652_Alice_CGNR_H-2.csv_A-30x30-1.csv.png | Usuario: Alice | Iteracoes: 5 | Tempo: 3.23s
2025-07-08 19:56:49 | Imagem: outputs/job_1752015284571_3085_Eduarda_CGNE_H-1.csv_G-2.csv.png | Usuario: Eduarda | Iteracoes: 5 | Tempo: 27.55s
2025-07-08 21:09:52 | Imagem: outputs/job_1752019780912_9235_Ana_CGNE_H-2.csv_g-30x30-1.csv.png | Usuario: Ana | Iteracoes: 5 | Tempo: 2.22s
2025-07-08 21:09:55 | Imagem: outputs/job_1752019780912_8153_Leonardo_CGNE_H-2.csv_g-30x30-1.csv.png | Usuario: Leonardo | Iteracoes: 5 | Tempo: 2.58s
2025-07-08 21:09:57 | Imagem: outputs/job_1752019780912_3959_José_CGNR_H-2.csv_A-30x30-1.csv.png | Usuario: José | Iteracoes: 5 | Tempo: 2.1s
2025-07-08 21:10:34 | Imagem: outputs/job_1752019780912_6654_Carol_CGNR_H-1.csv_A-60x60-1.csv.png | Usuario: Carol | Iteracoes: 5 | Tempo: 18.59s
2025-07-08 21:10:50 | Imagem: outputs/job_1752019780912_7344_Ana_CGNR_H-1.csv_A-60x60-1.csv.png | Usuario: Ana | Iteracoes: 5 | Tempo: 16.68s
